ETNT Article-focused template:,,,,,,,,,,
 https://docs.google.com/a/galvanized.com/document/d/1QOjKruOSN_9ADKvfl7eKSEyVikarBIQLfEV5FMkK8Qk/edit,,,,,,,,,,
ETNT Main-story focused template: ,,,,,,,,,,
https://docs.google.com/a/galvanized.com/document/d/1fZy39nrUd_4qbecB1hbckphDuonQLNhmBXoH2A81J6s/edit,,,,,,,,,,
Promo template: ,,,,,,,,,,
https://docs.google.com/document/d/1ACfRvnZX1CBly-w_TvvWi2roq97Fbw_o8wMzfx8ut6c/edit,,,,,,,,,,
DE preview (new issue),,,,,,,,,,
https://docs.google.com/document/d/1-puBVxbgIcazCEv53y3uOwDdBg5ViDgF8YYktJSQhZE/edit,,,,,,,,,,
NOTES,,,,,,,,,,
No.,List,Pickup?,Due,Releases,Day,Design,Content,Promo,Who,Status/ Comments
500,ETNT,,Mon,4/13/2016,Wed,Article,whyyougainedweight,AARP,DM,
501,ETNT,,Tue,4/14/2016,Thu,Article,proteinpowdertricks,ctnteasy,DM,Moved up in the schedule
502,ETNT,,Tue,4/15/2016,Fri,Article,badfoodsnowgood,teacleanse,DM,Moved up in the schedule
503,ETNT,,Wed,4/16/2016,Sat,Main Story,chickfilaranking,zbd,DM,Moved up in the schedule
504,ETNT,,Wed,4/17/2016,Sun,Promo TBD,etntabs,n/a,JP,Moved up in the schedule
505,ZBD,,Wed,4/18/2016,Mon,Article,bestfatburningfoods,teaspot,DM,Moved up in the schedule
506,ETNT,,Tue,4/18/2016,Mon,ZBD Main Story,omega3,n/a,JP,Moved up in the schedule
507,ETNT,,Mon,4/19/2016,Tue,Article,worstbreakfast,Lipton,DM,
508,ETNT,,Mon,4/20/2016,Wed,Promo TBD,magcoversurvey,n/a,JP,John added-drive to ETNT Mag cover survey
509,ETNT,,Tue,4/20/2016,Wed,Article,proteinhabit,etntde,DM,Custom button a/b test
510,ETNT,,Wed,4/21/2016,Thu,Article,targetmoneytips,AARP,DM,
511,ETNT,,Thu,4/22/2016,Fri,Main Story,peanutbutterrank,zbcook,DM,Custom Button a/b test - part 2
512,ETNT,,Thu,4/23/2016,Sat,Article,starbucksbreakfast,slimfast,DM,"http://www.eatthis.com/slimfast-recipes
"
513,ETNT,,Thu,4/24/2016,Sun,Promo TBD,zbsmoothies,n/a,JP,
514,ZBD,,Fri,4/25/2016,Mon,Article,latenighthabits,zbapp,DM,
515,ETNT,,Wed,4/25/2016,Mon,ZBD Main Story,wakeup14,n/a,JP,
516,ETNT,,Mon,4/26/2016,Tue,Article,breadbrands,Lipton,DM,
517,ETNT,,Tue,4/27/2016,Wed,Article,fiveguys,greentea,DM,
518,ETNT,,Wed,4/28/2016,Thu,Main Story,slowcooker,naughtydiet,DM,
519,ETNT,,Thu,4/29/2016,Fri,Article,cellulite,AARP,DM,"Also: multiple subject line test with a ""batch"" subject line"
520,ETNT,,Thu,4/30/2016,Sat,Article,mcdonaldsranking,etntde,DM,
521,ETNT,,Thu,5/1/2016,Sun,Promo TBD,naughtydiet,n/a,JP,
522,ZBD,,Fri,5/2/2016,Mon,Article,guthealth,ctnteasy,DM,
523,ETNT,,Wed,5/2/2016,Mon,ZBD Main Story,,n/a,JP,CANCELED
524,ETNT,,Mon,5/3/2016,Tue,Article,brazilianguide,zbapp,DM,
525,ETNT,,Fri,5/3/2016,Tue,Promo TBD,aarp,n/a,JP,Extra promo to sync with AARP push to their list
526,ETNT,,Tue,5/4/2016,Wed,Main Story,worstweightloss,entnabs,DM,
527,ETNT,,Wed,5/5/2016,Thu,Article,untrustworthyfoods,zbcook,DM,
528,ETNT,,Thu,5/6/2016,Fri,Article,evilinflamation,greentea,DM,
529,ETNT,,Thu,5/7/2016,Sat,Article,inspringmoms,etntsurvey,DM,John changed promo 5/5
530,ETNT,,Thu,5/8/2016,Sun,Promo TBD,expecting,n/a,JP,John changed promo 5/5
531,ZBD,,Fri,5/9/2016,Mon,Article,jillianmichalprotein,zbd,DM,
532,ETNT,,Wed,5/9/2016,Mon,ZBD Main Story,newweapon,n/a,JP,
533,ETNT,,Mon,5/10/2016,Tue,Main Story,proteinsnacks,zbsmoothies,DM,
0,ZB,,Mon,5/9/2016,Mon,Survey,subsurvey,n/a,JP,
534,ETNT,,Tue,5/11/2016,Wed,Article,summerstatefoods,etntexpecting,DM,
536,ETNT,,Wed,5/12/2016,Thu,Article,chickennuggetsranked,naughtydiet,DM,
537,ETNT,,Thu,5/13/2016,Fri,Article,dairyqueenblizzards,etntexpecting,DM,
538,ETNT,,Thu,5/14/2016,Sat,Article,loseweightafter30,AARP,DM,
539,ETNT,,Thu,5/15/2016,Sun,Promo TBD,etntde,n/a,JP,
540,ZBD,,Fri,5/16/2016,Mon,Main Story,cheapfoods,teacleanse,DM,
541,ETNT,,Wed,5/16/2016,Mon,ZBD Main Story,sixtyseconds,n/a,JP,
542,ETNT,,Mon,5/17/2016,Tue,Article,proteinandeggs,etntexpecting,DM,book on-sale date
543,ETNT,,Tue,5/18/2016,Wed,Article,kardashiansecrets,naughtydiet,DM,
544,ETNT,,Mon,5/18/2016,Wed,Promo TBD,etntexpecting,,JP,Jen Ashton on GMA Promoting book
545,ETNT,,Wed,5/19/2016,Thu,Article,gainweightfuture,zbapp,DM,
